#     Tmax k1 k2 log10(P)   e
5.000000 1 1 0.000000 0.0
5.000000 1 1 0.035354 0.0
5.000000 1 1 0.070707 0.0
5.000000 1 1 0.106061 0.0
5.000000 1 1 0.141414 0.0
5.000000 1 1 0.176768 0.0
5.000000 1 1 0.212121 0.0
5.000000 1 1 0.247475 0.0
5.000000 1 1 0.282828 0.0
5.000000 1 1 0.318182 0.0
5.000000 1 1 0.353535 0.0
5.000000 1 1 0.388889 0.0
5.000000 1 1 0.424242 0.0
5.000000 1 1 0.459596 0.0
5.000000 1 1 0.494949 0.0
5.000000 1 1 0.530303 0.0
5.000000 1 1 0.565657 0.0
5.000000 1 1 0.601010 0.0
5.000000 1 1 0.636364 0.0
5.000000 1 1 0.671717 0.0
5.000000 1 1 0.707071 0.0
5.000000 1 1 0.742424 0.0
5.000000 1 1 0.777778 0.0
5.000000 1 1 0.813131 0.0
5.000000 1 1 0.848485 0.0
5.000000 1 1 0.883838 0.0
5.000000 1 1 0.919192 0.0
5.000000 1 1 0.954545 0.0
5.000000 1 1 0.989899 0.0
5.000000 1 1 1.025253 0.0
5.000000 1 1 1.060606 0.0
5.000000 1 1 1.095960 0.0
5.000000 1 1 1.131313 0.0
5.000000 1 1 1.166667 0.0
5.000000 1 1 1.202020 0.0
5.000000 1 1 1.237374 0.0
5.000000 1 1 1.272727 0.0
5.000000 1 1 1.308081 0.0
5.000000 1 1 1.343434 0.0
5.000000 1 1 1.378788 0.0
5.000000 1 1 1.414141 0.0
5.000000 1 1 1.449495 0.0
5.000000 1 1 1.484848 0.0
5.000000 1 1 1.520202 0.0
5.000000 1 1 1.555556 0.0
5.000000 1 1 1.590909 0.0
5.000000 1 1 1.626263 0.0
5.000000 1 1 1.661616 0.0
5.000000 1 1 1.696970 0.0
5.000000 1 1 1.732323 0.0
5.000000 1 1 1.767677 0.0
5.000000 1 1 1.803030 0.0
5.000000 1 1 1.838384 0.0
5.000000 1 1 1.873737 0.0
5.000000 1 1 1.909091 0.0
5.000000 1 1 1.944444 0.0
5.000000 1 1 1.979798 0.0
5.000000 1 1 2.015152 0.0
5.000000 1 1 2.050505 0.0
5.000000 1 1 2.085859 0.0
5.000000 1 1 2.121212 0.0
5.000000 1 1 2.156566 0.0
5.000000 1 1 2.191919 0.0
5.000000 1 1 2.227273 0.0
5.000000 1 1 2.262626 0.0
5.000000 1 1 2.297980 0.0
